  ,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64
,Checkpoints,Were intermediate or final fine-tuned checkpoints shared?,N/A,N/A,No,No,N/A,No,N/A,No,N/A,No,No,N/A,No,No,No,No,N/A,N/A,"No, code is implemented to save check points, checkpoint are not provideed in the shared repo",N/A,N/A,No,No,No,No,N/A,No,No,No,No,No,No,No,No,N/A,N/A,No,N/A,No,Yes,N/A,No,No,No,No,N/A,No,"No, Code is given for checkpoints, but the checkpoints are not shared",N/A,N/A,N/A,N/A,No,No,N/A,N/A,Yes,No,N/A,N/A,N/A,No,No,No
,Model weights,Were the model weights shared to enable reuse without retraining?,N/A,N/A,No,No,N/A,Yes,N/A,Yes,N/A,No,No,N/A,No,No,No,No,N/A,N/A,No,N/A,N/A,No,No,No,No,N/A,No,No,No,No,No,No,No,No,N/A,N/A,No,N/A,No,Yes,N/A,No,No,No,No,N/A,No,No,N/A,N/A,N/A,N/A,No,No,N/A,N/A,No,No,N/A,N/A,N/A,No,No,No
,Tokenizer version,"Was the tokenizer (BPE, SentencePiece, etc.) and its version reported?",N/A,N/A,No,No,N/A,Yes,N/A,Yes,N/A,No,No,N/A,No,No,No,No,N/A,N/A,No,N/A,N/A,No,No,No,No,N/A,No,No,No,No,No,No,No,No,N/A,N/A,No,N/A,No,No,N/A,No,No,No,Yes,N/A,No,Yes,N/A,N/A,N/A,N/A,No,No,N/A,N/A,Yes,Yes,N/A,N/A,N/A,No,No,No
,Vocabulary size,Was the tokenizer vocabulary size provided?,N/A,N/A,No,No,N/A,Yes,N/A,Yes,N/A,No,No,N/A,No,No,No,No,N/A,N/A,No,N/A,N/A,No,"Yes, 50k","Yes, 32000",No,N/A,No,No,No,No,No,No,No,No,N/A,N/A,No,N/A,No,No,N/A,Yes,No,No,Yes,N/A,No,Yes,N/A,N/A,N/A,N/A,No,No,N/A,N/A,Yes,Yes,N/A,N/A,N/A,No,No,No
Prompting,Prompt documentation,Were exact prompts provided?,Yes,N/A,Yes,Yes,Yes,Yes,Yes,N/A,Yes,Yes,N/A,Partial,Yes,Yes,N/A,Yes,N/A,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not reported,N/A,Yes,Yes,N/A,N/A,Yes,N/A,Yes,Yes,Yes,Yes,Yes,Yes,N/A,Yes,N/A,Yes,Yes,Yes,Yes,Yes,Not reported,Yes,Yes,Yes,Yes,N/A,Yes,Yes,N/A,Yes,Yes,Yes,Yes,Yes,N/A,Yes
,Prompt type,"Was the strategy explained (zero-shot, few-shot, chain-of-thought)?",Zero-shot prompting,N/A,Zero-shot prompting,One-shot prompting,Zero-shot prompting,Few-shots prompting,Chain of thought prompting,N/A,Chain of thought prompting,Zero-shot prompting,N/A,Zero-shot prompting,"Zero-shot prompting, Few-shots prompting, Chain of thought prompting",Zero-shot prompting,N/A,Instruction prompting,N/A,Zero-shot prompting,Zero-shot prompting,Few-shots prompting,Chain of thought prompting,Zero-shot prompting,Zero-shot prompting,Instruction prompting,Instruction prompting,Zero-shot prompting,Not reported,N/A,Zero-shot prompting,Zero-shot prompting,N/A,N/A,Task-specific QA-style prompting,N/A,Zero-shot prompting,Zero-shot prompting,Zero-shot prompting,Zero-shot prompting,Zero-shot prompting,Zero-shot prompting,N/A,Zero-shot prompting,N/A,Chain of thought prompting,"Zero-shot prompting, Few-shots prompting",One-shot prompting,Zero-shot prompting,Zero-shot prompting,Not reported,"Zero-shot prompting, Few-shots prompting",Zero-shot prompting,Zero-shot prompting,Zero-shot prompting,N/A,Zero-shot prompting,Zero-shot prompting,N/A,Zero-shot prompting,Zero-shot prompting,Few-shots prompting,Zero-shot prompting,"Zero-shot prompting, One-shot prompting",N/A,Zero-shot prompting
,Prompt templates,Were reusable templates (with placeholders) shared?,Yes,N/A,Yes,Yes,Yes,Yes,Yes,N/A, Yes,No,N/A,Yes,Yes,Yes,N/A,Yes,N/A,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,N/A,Yes,No,N/A,N/A,Yes,N/A,Yes,Yes,Yes,No,Yes,Yes,N/A,Yes,N/A,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,N/A,Yes,Yes,N/A,Yes,Yes,Yes,No,Yes,N/A,Yes
,Context length,"Was the maximum input context window documented, and were truncation/chunking strategies explained?",No information provided,N/A,No information provided,No information provided,No information provided,No information provided,No information provided,N/A,No information provided,No information provided,N/A,No information provided,No information provided,No information provided,N/A,No information provided,N/A,No information provided,No information provided,No information provided,No information provided,No information provided,No information provided,No information provided,No information provided,No information provided,No information provided,N/A,No information provided,Yes,N/A,N/A,No information provided,N/A,No information provided,Yes,No information provided,No,Yes,No information provided,N/A,No information provided,N/A,No information provided,Yes,No information provided,No information provided,No information provided,No information provided,No information provided,No information provided,No information provided,No information provided,N/A,No information provided,No information provided,N/A,No information provided,No information provided,No information provided,No information provided,Partial,N/A,No information provided
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Datasets,Public dataset,Was a public dataset used?,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Synthetic data,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
,Private dataset,"If private data was used, was the choice justified?",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Yes, from Linkdin",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Yes, the dataset is taken from Kwai E-commerce to conduct real world experiment",N/A
,Downloadable dataset,Were download links provided?,Yes,Partial,Yes,No,Partial,No,Yes,No,Yes,No,Yes,No,No,No,Yes,No,No,Yes,No,Yes,No,No,No,Yes,Yes,Yes,No,Partial,Yes,No,Partial,Partial,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,No,Yes,Yes,No,Yes,Yes,No,No,No,N/A,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Partial
,Preprocessed dataset,Were preprocessed datasets made available for all datasets?,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No
,Data splits,Were train/validation/test splits shared for all datasets?,Partial,Partial,No,No,Yes,No,No,Yes,Yes,No,Partial,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Partial,No,No,No,No,No,Yes,No,Yes,Yes,No,Partial,Yes,Partial,Only train-test splits are shared,No,Yes,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No
,Data filtering,Were filtering details provided?,"Yes, five-core filtering","Yes, five-core filtering","Yes, three core filtering",No information provided,No information provided,Yes,Yes,No information provided,"Yes, five-core filtering","Yes, five-core filtering",No information provided,"Yes, different settings were used for all three datasets",No information provided,No information provided,No information provided,No information provided,Yes,No information provided,Yes,No infomation provided,"
No information provided",No information provided,"Yes, five-core filtering","Yes, five-core filtering",No information provided,"Yes, four and five core filtering",No information provided,"Yes, five-core filtering","Yes, five-core","Yes, five core","Yes, five-core","Yes, five-core","Yes, 10-core","Yes, five-core","Yes, 10-core filtering",No information provided,No information provided,"Yes, A list is provided to remove meaningless sentences from data",N/A,N/A,No information provided,"Yes, Prompt-based filtering",No information provided,No information provided,No information provided,"Yes, remove the duplicated documents",No information provided,Yes,No information provided,No information provided,No information provided,Yes,No information provided,"Yes, keep rating >=3 as positive interaction and remove sequence, which have less than 20 interactions","Yes, five-core filtering",No information provided,No information provided,"Yes, five-core filtering",N/A,"Yes, five core filtering",No information provided,"Yes, five-core for users and ten core for items",No information provided,No information provided
,user_k_core|item_k_core|iterative_k_core,,"user_k_core, item_k_core",,"user_k_core, item_k_core",No information provided,No information provided,user-k-core,Not indormation provided,No information provided,No information provided,"user_k_core, item_k_core",No information provided,"user_k_core, item_k_core",No information provided,No information provided,No information provided,"user_k_core, item_k_core","user_k_core, item_k_core",No information provided,"user_k_core, item_k_core",No information provided,"
No information provided",No information provided,No information provided,"user_k_core, item_k_core",No information provided,"user_k_core, item_k_core",No information provided,No information provided,iterative_k_core,"user_k_core, item_k_core",User_k_core,"user_k_core, item_k_core","user_k_core, item_k_core",User_k_core,iterative_k_core,Not specified,No information provided,N/A,N/A,N/A,No information provided,N/A,No information provided,No information provided,No information provided,N/A,N/A,N/A,N/A,N/A,N/A,Not mentioned,Not provided,No information has been provided,Not specified,Not specified,Not reported,Not specified,N/A,"user_k_core, item_k_core",Not reported,"item_k_core, user_k_core",No,No
,Side information,"Was additional context/metadata used, and was it documented?","Battery, Brand, Color, Connectivity, Performance, Price, Size, Effectiveness, Ingredients, Scent, Comfort, Functionality, Material, Quality, Ambience, Cleanliness, Food, Location, Parking, Service","Title, Genre, Year, Category, Brand","Title, Album, Artist, Category, Brand, Description","Title, Description, Year, Genre",Title,"Title, Description","Genre, Year, Price, Sale","Title, Description, Author, Director","Title, Genre, Brand, Category","Title, Category, Brand, Price",Title,"Genre, Age","Title, Year, Author","Video, Comments",Title,Title,"Title, Description","Title, Brand","Name, Timestamp","Title, Year, Genre","Title, Category","Title, Description, Category",Description,"Title, Category, Description, Brand","Title, Category","Title, Description","Title, Reviews, Price, Address ",Title,"Title, Timestamp",Title,Title,Reviews,"Name, Category, Timestamp","Description, Timestamp, City, Country, Street, Road","Name, Category, Address, Coordinates, Photos, Reviews","Title, Abstract, Category","Title, Description, Topics, Region",Not specified,"Title, Genre, Actors, Director, Description",Name,"Title, Description","Title, Image","Title, Video",Title,"Title, Genre","Description, Title, Authors, Keywords, Summary, Source, Publishing date, ","Abstract, Title","Title, Abstract, Category, History",N/A,Title,Not specified,"Title, Genre, Timestamp, Race",Not specified,"Genre, Title","Gender,  Age, Occupation, ZIP,  Title, Genre, Year, User active degree, Is lowactive period, Is live streamer, Is video author, Follow user num range, Fans user num range, Friend user num range, Register days range, Video type, Upload type, Visible status, Server width, Server height, Music type, Duration, Place, Director, Country, Language, Category","Age, Country, Gender, Continent, Occupation, Race, Religion, Physics","User profile, item profile","Tags, Description, Title, Brand",Not specified,"Title, Genre, Description",Title,"Title, Category, Authors, Brand","Title, Authors",Not specified
,Used embeddings,Were the used embeddings publicly shared?,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Not shared,No,No,Not shared,No,No,No,No,No,No,No,No,No,No,Not shared,Not shared,Not shared,No,No,No,No,No,No,No,No,Not shared,No,No,N/A,No,No,No,N/A,No,No,N/A,No,No,No,No,No
,Recommendation files,Were the recommendation files saved for datasets?,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
,Dataset statistics,Are the statistics of the datasets documented before or after preprocessing?,Not shared,After preprocessing,After preprocessing,Not shared,Not shared,Not shared,Not shared,Not shared,Not mentioned either reported before or after prerocessing,Not mentioned either reported before or after prerocessing,Not mentioned either reported before or after prerocessing,Not mentioned either reported before or after prerocessing,Not shared,Not mentioned either reported before or after prerocessing,Not mentioned either reported before or after prerocessing,Not shared,After preprocessing,After preprocessing,Not mentioned either reported before or after prerocessing,Not mentioned either reported before or after prerocessing,After preprocessing,Not mentioned either reported before or after prerocessing,Not mentioned either reported before or after prerocessing,After preprocessing,Not mentioned either reported before or after prerocessing,After preprocessing,Not mentioned either reported before or after prerocessing,Not mentioned either reported before or after prerocessing,After preprocessing,After preprocessing,Not mentioned either reported before or after prerocessing,After preprocessing,Not shared,Not mentioned either reported before or after prerocessing,After preprocessing,Not mentioned either reported before or after prerocessing,Shared before and after preprocessing,Partial,Not mentioned either reported before or after prerocessing,Shared before preprocessing ,Not mentioned either reported before or after prerocessing,After preprocessing,Not mentioned either reported before or after prerocessing,Not shared,After preprocessing,After preprocessing,Not mentioned either reported before or after prerocessing,After preprocessing,Not shared,Not mentioned either reported before or after prerocessing,Partial,After preprocessing,Not mentioned either reported before or after prerocessing,Not mentioned either reported before or after prerocessing,Not mentioned either reported before or after prerocessing,Not shared,Not mentioned either reported before or after prerocessing,Not mentioned either reported before or after prerocessing,Not shared,Not mentioned either reported before or after prerocessing,Not shared,Not mentioned either reported before or after prerocessing,Not mentioned either reported before or after prerocessing,Not mentioned either reported before or after prerocessing
Hyperparameters,Proposed model opt. procedure,Was the hyperparameter optimization procedure described for proposed model?,Grid search,No,No,No,Optuna library,Grid search,No,No,No,No,No,No,No,No,No,No,Grid search,Grid search,Fix the hyperparameter values,No,No,Fix the hyperparameter values,Grid search,No,No,No,No,No,No,No,No,No,Fix the hyperparameter values,No,Optuna-Bayesian optimization,Fix the hyperparameter values,Fix the hyperparameter values,N/A,Fix the hyperparameter values,Fix the hyperparameter values,No,Grid search,No,No,No,No,No,Fix the hyperparameter values,No,Grid search,N/A,N/A,Fix the hyperparameter values,No,Grid search,N/A,Fix the hyperparameter values,No,N/A,Fix the hyperparameter values,Fix the hyperparameter values,Fix the hyperparameter values,No,No
,Baseline model opt. procedure,Was the hyperparameter optimization procedure described for baseline model?,Grid search,No,No,No,Optuna library,Grid search,No,No,No,No,Refer to baselines,No,No,No,No,No,Grid search,Grid search,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Optuna-Bayesian optimization,No,No,N/A,No,No,No,Grid search,No,No,No,No,No,No,No,Grid search,N/A,N/A,No,No,Grid search,N/A,No,No,N/A,Fix the hyperparameter values,Fix the hyperparameter values,No,Taken from the original papers,No
,Proposed model hyperparameter ranges,Were the searched ranges for the hyperparameters reported for proposed model?,Yes,Yes,No,No,Yes,Yes,No,No,No,No,Yes,No,No,Yes,No,Yes,Yes,N/A,Fix the hyperparameter values,Yes,No,Fix the hyperparameter values,No,Yes,Yes,Yes,No,No,No,No,No,No,Fix the hyperparameter values,Yes,Yes,Fix the hyperparameter values,Fix the hyperparameter values,N/A,Fix the hyperparameter values,Fix the hyperparameter values,Not specified,Yes,Yes,No,Yes,No,Partial,Fix the hyperparameter values,No,Yes,N/A,N/A,Fix the hyperparameter values,Yes,No,N/A,Fix the hyperparameter values,Yes,N/A,Fix the hyperparameter values,Fix the hyperparameter values,Fix the hyperparameter values,Yes,No
,Baseline model hyperparameter ranges,Were the searched ranges for the hyperparameters reported for baseline model?,No,Yes,No,No,Yes,Yes,No,Partial,No,No,Refer to baselines,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,Yes,Yes,No,No,N/A,No,No,No,No,No,No,No,No,No,No,No,Yes,N/A,N/A,No,Yes,No,N/A,No,No,N/A,Fix the hyperparameter values,Fix the hyperparameter values,No,Taken from the original papers,No
,Proposed model optimal hyperparameters,Were the best hyperparameters reported for each dataset?,No,Yes,Yes,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,N/A,Fix the hyperparameter values,No,No,Fix the hyperparameter values,No,No,No,Yes,Yes,No,Partial,Partial,No,No,Fix the hyperparameter values,No,Yes,Fix the hyperparameter values,Fix the hyperparameter values,N/A,Fix the hyperparameter values,Fix the hyperparameter values,No,No,No,No,No,No,No,Fix the hyperparameter values,No,Yes,N/A,N/A,Fix the hyperparameter values,No,No,N/A,Fix the hyperparameter values,No,N/A,Fix the hyperparameter values,Fix the hyperparameter values,Fix the hyperparameter values,No,No
,Baseline model optimal hyperparameters,Were the best hyperparameters reported for each dataset?,No,No,No,No,Yes,No,No,No,No,No,Refer to baselines,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,Not reported,N/A,No,No,No,No,No,No,No,No,No,No,No,No,N/A,N/A,No,No,No,N/A,No,No,N/A,Fix the hyperparameter values,Fix the hyperparameter values,No,Taken from the original papers,No
,Tuning iterations,Was the number of iterations/rounds specified to obtain optimal hyperparameter values?,Not reported,Not reported,Yes,Yes,Yes,N/A,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not required for grid search,Not required for grid search,Not specified for baseline models,Not reported,Not reported,Not specified for baseline models,Not specified for baseline models,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Yes,Not specified for baseline models,Not specified for baseline models,N/A,Not specified for baseline models,"Fix the hyperparameter values for all datasets for proposed model, no information has been provided for baseline models",Not reprted,N/A,Not reprted,Not reprted,Not reprted,N/A,Not reprted,Not reprted,Not reprted,N/A,N/A,N/A,"Not required for proposed model, not reported for baseline models",Not reprted,N/A,N/A,Not reprted,Not reported,N/A,Fixed  hyperparameter values,Fixed  hyperparameter values,"Fix the hyperparameter values for proposed model, and no information is provided for baseline models",No,No
,Embedding size,Is the embedding size fixed?,No information provided,Yes,Yes,No information provided,No,Yes,No information provided,"Fix for BERT for model, but no information provided for other models",Yes,No information provided,Yes,No information provided,No information provided,Yes,No information provided,No information provided,No information provided,Yes,Yes,Yes,No information provided,No information provided,No information provided,No information provided,No information provided,Yes,Yes,No information provided,No information provided,No information provided,No information provided,No information provided,No information provided,No information provided,N/A,No information provided,Yes,N/A,No information provided,Yes,No information provided,No information provided,No information provided,No information provided,No,N/A,No information provided,No information provided,No information provided,Yes,N/A,N/A,Yes,No information provided,No information provided,N/A,Yes,Yes,N/A,No information provided,No information provided,No information provided,No,No information provided
,Randomness control,Were the experiments run multiple times to control randomness?,No information provided,No information provided,No information provided,No information provided,Yes,"Yes, experiments have executed multiple times by taking different values ofrandomm seeds",Yes,Yes,No information provided,No information provided,No information provided,No information provided,Yes,No information provided,No information provided,No information provided,"Yes, experiments run five times to control randomness",Yes,No information provided,Yes,"Yes, All models run three times on test data to report average results",No information provided,No information provided,No information provided,No information provided,No information provided,No information provided,"Yes, experiments are executed with three diffirent value of random seeds",No information provided,No information provided,Yes,No information provided,No information provided,No information provided,Yes,No information provided,Yes,N/A,No information provided,No information provided,No information provided,No information provided,"Yes, model runs three times with different random seed values",No information provided,No information provided,No information provided,Yes,No information provided,No information provided,"Yes, each method executed five times to report average results",No information provided,No information provided,No information provided,No information provided,No information provided,No information provided,Yes,No information provided,No information provided,Yes,Yes,No information provided,No information provided,No information provided
Infrastructure & Resources,Hardware details,"Were the hardware resources (GPU/TPU/CPU, RAM) specified?",Not reported,Not reported,NVIDIA H100,"NVIDIA A100, 80 GB",Not reported,NVIDIA A100,Not reported,NVIDIA GeForce RTX 3090,NVIDIA A100,Not reported,NVIDIA A800,Not reported,Not reported,Not reported,Not reported,NVIDIA RTX A5000,Not reported,NVIDIA A800,Not reported,"NVIDIA RTX 3090, 24GB",Not reported,"NVIDIA A800, 80 GB",Not reported,"NVIDIA V100, 32 GB",NVIDIA RTX A5000,"NVIDIA GeForce A6000, 48 GB","NVIDIA A100, 40GB",NVIDIA A40,"NVIDIA GeForce A6000, 48GB","NVIDIA V100, 32 GB",NVIDIA V100,Not reported,NVIDIA A100,NVIDIA RTX 6000,"NVIDIA A40, 48GB, NVIDIA A800, 80GB",Not reported,"NVIDIA A100, 80 GB, NVIDIA GeForce RTX 3090",Not reported,"NVIDIA A100, 80GB",Not reported,Not reported,"NVIDIA A100, 40GB",NVIDIA RTX A5000,NVIDIA A800,NVIDIA V100,Not reported,"NVIDIA RTX A6000, 50 GB","NVIDIA A800, 80GB, NVIDIA 3090, 24GB",Not reported,Not reported,Not reported,Not reported,NVIDIA A100,Not reported,NVIDIA GeForce RTX 3060,N/A,NVIDIA A100,"NVIDIA V100, 32GB",Not reported,Not reported,Not reported,NVIDIA A100,NVIDIA A800,Not reported
,Requirements file,Is a library requirements file (software dependencies) provided?,No,Yes,No,No,Yes,Yes,Yes,"Yes, with version detail",Yes,No,No,No,No,Yes,Yes,No,No,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,No,No,Yes,No,Yes,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,Yes,No,No
,Intermediate libraries,Were CUDA/cuBLAS/cuDNN versions provided?,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,Yes,No,No,Yes,No,No,No,No,No,No,No,N/A,No,No,Yes,No,No,No,No,No
,Runtime cost,Were the computing time documented?,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,"Partial, for one dataset",No,Yes,Partial,No,No,No,No,No,No,No,No,No,No,No,No,No,Partial,No,No,No,No,No,No,No,No,No,Partial,No,No,No,No,No,No,No,No,No,No,No
,Carbon footprint,Was energy usage or environmental cost reported?,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
,Reproduction with limited resources,"Were instructions provided for small-scale replication (e.g., subset experiments)?",No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Evaluation,Evaluation procedure,"Was the evaluation procedure described in detail, e.g., leave-one-out, cross-validation?",Leave-one-out,Leave-one-out,Time-based spliting,Leave-one-out,80/10/10 (after sorting),80/10/10 (after sorting),Leave-one-out,80/10/10 (after sorting),"80/10/10 (after sorting), Leave-one-out",Leave-one-out,80/10/10 (after sorting),Leave-one-out,80/10/10 (after sorting),Leave-one-out,Not reported,Not reported,Leave-one-out,Leave-one-out,Leave-one-out,Leave-one-out,Leave-one-out,Not reported,80/10/10 (random),Leave-one-out,Leave-one-out,Leave-one-out,Leave-one-out,Leave-one-out,Leave-one-out,60/20/20,Leave-one-out,Leave-one-out,80/10/10 (after sorting),Not reported,80/10/10 (after sorting),"Not reported, train-test splits are shared, but the spliting procedure is not specified like random, leave-one-out, time-based, etc.",Not reported,"Partial, 1,000 instances randomly sampled from INSPIRED","Partial, shared fixed train/validation/test splits",Not reported,"80/10/10 (random), Time-based spliting",80/10/10,80/10/10 (after sorting),80/10/10 (random),"80/10 (after sorting), 90/10 (random)",Not reported,Time-based spliting,"Not reported, The size of the train-validation-test sets is provided  but no information on how they were created. ",Not reported,70/10/20 (after sorting),Not reported,80/20 (after sorting),80/10/10,80/10/10 (after sorting),Leave-one-out,Not reported,Not reported,Leave-one-out,3-level-meta evaluation,Not reported,Not reported,Not reported,60/20/20 (after sorting),80/20
,Validation dataset,Is the ratio of the validation dataset mentioned?,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,No,Partial,No,Yes,Yes,Yes,Yes,No,No,No,No,No,Yes,N/A,N/A,Yes,Yes,Yes,N/A,No,No,N/A,No,No,No,Yes,No
,Optimization metric,,Precision,NDCG,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,NDCG,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Recall,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,NDCG,AUC,AUC,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,N/A,N/A,NDCG,Not reported,Not reported,N/A,Not reported,Not reported,N/A,Not reported,Not reported,Not reported,Not reported,Not reported
,Evaluation (Full vs. Sampled),,Full,Sampled (sample size = 99),Full,Full,Sampled (sample size = 20),Sampled (sample size = 20),Full,Full,Full,Full,Full,Full,Sampled (sample size = 50),Sampled (sample size = 100),Full,Not reported,Sampled (sample size = 100),Full,Not reported,Full,Not reported,Not reported,Full,Not reported,Not reported,Not reported,Full,Full,Sampled (sample size = 100),Sampled (sample size = 29),Full,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,N/A,Not reported,Full,Full,Sampled (sample size = 10),Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Full,Full,Not reported,Full,N/A,Not reported,Not reported,N/A,Not reported,Not reported,Not reported,Not reported,Not reported
,Evauation measures,,"Precision, NDCG","HR, NDCG","HR, NDCG","HR, NDCG","HR, NDCG",HR,"Recall, NDCG",AUC,"HR, NDCG","NDCG, Recall","HR, NDCG","HR, NDCG","AUC, NDCG","Recall, NDCG, MRR","HR, NDCG","Recall, NDCG","Recall, NDCG","HR, NDCG",HR,"Recall, NDCG, Precision",NDCG,"Recall, MRR","Recall, NDCG","HR, NDCG","Recall, NDCG",HR,"NDCG, HR","Recall, NDCG","NDCG, HR","HR, MRR","HR, NDCG","HR, NDCG",Accuracy,"NDCG, Recall","NDCG, MRR, HR, Coverage, Serendipity, Novelty","AUC, MRR, NDCG, ROUGE","AUC, MRR, NDCG","BELU, Cohen's Kappa, DIST, Behavior Alignment","Recall, Perplexity, Distinct","Recall, Recall_true","HR, NDCG","HR, ValidRatio","Recall, NDCG","AUC, LogLoss, MAE, RMSE","AUC, Log loss, ACC","Recall, MAP, NDCG, Diversity, Coverage, Average Recommendation Popularity","BSR, Average Predicted Rank, Exposure, Appear,  Perplexity, BLEU, ROUGE-L, BERTScore,  AUC, MRR, NDCG","AUC, MRR, NDCG, Win Rate, Consistency Rate","AUC, MRR, NDCG","Precision, Recall, Coverage, ROUGE",NDCG,NDCG,"Recall, NDCG","Recall, NDCG, Coverage, MAE_coverage","Recall, NDCG, MAD, a-NDCG","Jaccard Similarity, Pairwise Ranking Accuracy, Sensitive-to-Neutral Similarity Range, Sensitive-to-Neutral Similarity Variance","GPTscore, BERTscore, BARTscore, BLEURT, USR","History accuracy coverage, HR, NDCG","BELU, ROUGE","Trajectory length, The average single-round reward, The cumulative reward","Hit Ratio, S-Recall, Novelty, BLEU","Precision, Recall, F1-score, NDCG","AUC, NDCG",Average Reward
